Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Anguillara Sabazia, Mura di Santo Stefano, Phase 4;Medieval;Lazio;Central Italy;Ma;Urban;Hill;0.3333;9;11;56.39;6.4;0.15;0.09;16.02;1.81;1.09;;;;0.04;;7.03;;1.43;1.3;0.84;2.38;;;;;;;;;;;;;;;;;;;;;;
Rocchette Pannocchieschi;Frankish;Toscana;Central Italy;Ma;Castle;Hill;0.5000;10;11;208;1;;;3;;;;;;3;4;;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Montegrotto Terme, via Neroniana, Silos (US 4131);Medieval;Veneto;Northern Italy;Ma;Rural;Plain;1.0000;11;11;;;;;2;;2;2;15;2;;;1;;;;;;;;;;;4;;;;;;3;;;1;;;;;;;
Montegrotto Terme, via Neroniana, hut (US 2004-2019);Medieval;Veneto;Northern Italy;Ma;Rural;Plain;0.5000;11;12;7;;1;;8;;3;;;25;3;;;;;;;;;2;;;;59;;1;;;;6;;;;;;2;1;;;
Montegrotto Terme, via Neroniana, elongated ditch (US 4174);Medieval;Veneto;Northern Italy;Ma;Rural;Plain;0.1667;9;14;13;;;;6;;;57;1;11;;;1;;;;;;;;;;;961;3;;;;;228;;;23;;1;;;;;
Sondrio, via Quadrio;Medieval;Lombardia;Northern Italy;Ma;Urban;Plain;0.2500;11;14;;1;;;;;;4;;5;;;;;;;;;1;;;;;3;;;;;;;;;;;;;;;;
Miranduolo, castle phase;Medieval;Toscana;Central Italy;Ma;Castle;Hill;0.5000;10;11;11805;485;1824;292;3148;9811;933;193;;5578;;4;1973;110;33;153;22;96;;;10;4;;34;;3;;;;;;;;;13;;;;;
Colle Castellano, Phase 3-4;Medieval;Molise;Southern Italy;Ma;Urban;Hill;0.5000;10;11;20;;;;24;;231;;;55;;;1;;;3;;14;;;;;2;2;;;;;;;;;;;;;;;;
Apigliano, 10th-11th c., pits;Byzantine;Puglia;Southern Italy;Ma;Rural;Plain;0.5000;10;11;2;;;;1;;;;;;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ferrara, Corso Porto Reno, 950-1050;Medieval;Emilia-Romagna;Northern Italy;Ma;Urban;Plain;0.5000;10;11;1;1;;1;1;;1;1;1;;1;1;;;1;;;;;1;1;;1;;;1;;1;;1;1;1;1;1;1;1;1;1;1;
Sant'Agata Bolognese, 10th-11th c.;Early Medieval;Emilia-Romagna;Northern Italy;Ma;Castrum;Plain;0.5000;10;11;253;109;112;5;54;2;236;2;21;;2;7;193;;;23;;;;1;;;262;29;;1;;1;;;1;3;;;;;;;;
S. Michele di Trino, Phase IV, 10th-11th c.;Medieval;Piemonte;Northern Italy;Ma;Urban;Plain;0.5000;10;11;89;;;;297;883;1;;;533;3;1;108;;6;5;;;;;;;;;;;;;;;;;;;;;;;;
S. Michele di Trino, Phase IV-V, 11th-12th c.;Medieval;Piemonte;Northern Italy;Ma;Urban;Plain;0.5000;11;12;17;;;1;25;116;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
Villa Magna, monastic village, 10th-13th c.;Medieval;Lazio;Central Italy;Ma;Rural;Hill;0.3333;10;13;86;;;;8;;;;;;;;;;145;;;1;;1;;;5;1;;;;;;;;;;;;56;;1;;
