Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;x;y;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Pompei, VI, 1, 10, House of the Surgeon, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.481851060152303;40.75159883733661;3;4;;;;;2;3;;21;7;;;2;7;;;;4;;;;24;35;2;;;;48;;;;;;;;;;;
Pompei, VI, 1, 4, Inn, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.481495918664416;40.75172144517327;3;1;;;;;;1;;4;;;;8;;;;;4;2;;;1582;48;;;;;120;;;;;;;;;;;
Pompei, VI, 1, 4, Inn, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.481495918664416;40.75172144517327;2;;;;5;1;;;;5;;;;7;39;;;;1;;;;3;24;1;1;;;24;;;;;;;;;;;
Pompei, VI, 1, 4, Inn Bar, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.481558200389934;40.75169792180213;;;;;;;;;;2;;;;;;;;;1;;;;32;1;;;;;1;;;;;;;;;;;
Pompei, VI, 1, 4, Inn Bar, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.481558200389934;40.75169792180213;;;;;1;;;;;3;;;;;3;;;;;;;;56;1;;2;;;2;;;;;;;;;;;
Pompei, VI, 1, 4, Vestals Bar, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.481633069569275;40.751659159606305;;;;;;;;;;1;;;;;;;;;;;;;2;5;;;;;;;;;;;;;;;;
Pompei, VI, 1, 4, Vestals Bar, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.481633069569275;40.751659159606305;;1;;;;;;;;3;1;1;;3;6;;;;3;1;;;20;21;;;;;2;;;;;;1;;;;;
Acquachiara, Trench 10000, Early Imperial Phase;Roman;Abruzzo;Southern Italy;R;Rural;Mountain;0.5000;1;2;14.407341375639954;42.00487328893356;5;;;;2;;;;;3;;;;;2;;;;;;;;89;52;;;;114;;;;;;;;;;;;
Salapia, area botteghe, US 2463;Late Roman;Puglia;Southern Italy;LR;Urban;Coast;0.5000;4;5;15.997292733316364;41.400097003336256;;1;;;;;;;;1;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;
Salapia, area botteghe, US 2439;Late Roman;Puglia;Southern Italy;LR;Urban;Coast;1.0000;5;5;15.997292733316364;41.400097003336256;6;4;;;1;;;;;24;;;;;;;;;;;;;;;21;;;;31;;;;;;;;;;;
Salapia, area botteghe, US 2475;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;1.0000;6;6;15.997292733316364;41.400097003336256;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Salapia, area botteghe, US 2437;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;1.0000;7;7;15.997292733316364;41.400097003336256;1;;;1;;;;;;22;;;;;;;;1;;;;;;;;;;;4;;;;;;;;;;;
Salapia, area conceria, US 2054;Early Medieval;Puglia;Southern Italy;LR;Urban;Coast;0.5000;5;6;15.997366453388821;41.399715738794626;;1;;;;;;;;2;;;;;;;;;;;;;;3;;;;;1;;;;;;;;;;;
